denial_code,denial_text,label
CO-16,Denied: missing/incomplete information. Please submit clinical notes.,missing_info
CO-197,Denied: authorization required but not obtained.,other
CO-29,Denied: claim received after filing deadline.,timely_filing
CO-27,Denied: eligibility issue — coverage terminated.,eligibility
CO-197,Denied: authorization required but not obtained.,other
CO-27,Denied: services after termination date of coverage. See payer portal for details.,eligibility
CO-197,Denied: authorization required but not obtained.,other
CO-197,Denied: notification/pre-treatment authorization missing.,other
CO-16,Denied: submission/billing error(s). Correct patient demographics and resubmit with authorization number.,missing_info
CO-97,Denied: concurrent procedure rule; included in payment for another adjudicated line.,coding_bundling
CO-50,Denied: clinical documentation does not support billed level of service.,medical_necessity
CO-29,Denied: late submission outside payer filing window.,timely_filing
CO-16,Denied: missing/incomplete information. Please submit EOB with remark codes.,missing_info
CO-29,Denied: late submission outside payer filing window. Please review and resubmit.,timely_filing
CO-50,Denied: medical necessity not supported by records submitted. See payer portal for details.,medical_necessity
CO-97,Denied: concurrent procedure rule; included in payment for another adjudicated line. Please review and resubmit.,coding_bundling
CO-197,Denied: authorization required but not obtained.,other
CO-16,Denied: claim/service lacks information needed for adjudication; missing progress notes. Follow plan guidelines.,missing_info
CO-45,Paid per contract; remaining amount adjusted per contracted/legislated arrangement. See payer portal for details.,underpayment
CO-50,Denied: medical necessity not supported by records submitted.,medical_necessity
CO-27,Denied: services after termination date of coverage. Please review and resubmit.,eligibility
CO-16,Denied: submission/billing error(s). Correct diagnosis pointer and resubmit with proof of timely transmission.,missing_info
CO-50,Denied: medical necessity not supported by records submitted. Include supporting documentation.,medical_necessity
CO-27,Denied: coverage ended prior to date of service; patient not eligible on DOS. Follow plan guidelines.,eligibility
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
CO-151,Denied: payer policy adjustment; see remarks.,other
